"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Levitra,Vardenafil HCl,1,"$1,111,799.93","32,709","7,775","1,725",$33.99,$143.00,$644.52,0,"$767,562.85","17,614","3,940",945,$43.57,$194.81,$812.24,0,"$398,715.48","7,969","1,782",399,$50.02,$223.75,$999.29,0,"$287,358.00","5,475","1,191",298,$52.49,$241.27,$964.29,0,"$191,368.44","3,665",744,178,$52.21,$257.22,"$1,075.10",0,-0.52%,11.33%
Levo-T,Levothyroxine Sodium,1, , , , , , , , , , , , , , , , ,$979.79,"1,836",64,64,$0.54,$15.31,$15.31,1,"$512,121.28","1,283,621","34,312","10,784",$0.40,$14.93,$47.49,0,"$713,434.37","1,860,374","45,352","14,685",$0.38,$15.73,$48.58,0,-3.75%,-15.38%
Levobunolol HCl,Levobunolol HCl,2,"$2,573,429.47","1,253,075","129,331","32,659",$2.10,$19.90,$78.80,0,"$2,279,920.52","1,248,922","125,993","31,598",$1.92,$18.10,$72.15,0,"$1,671,058.30","1,173,341","115,759","29,591",$1.46,$14.44,$56.47,0,"$1,353,711.19","1,106,982","111,521","28,402",$1.29,$12.14,$47.66,0,"$1,226,861.38","1,046,403","105,858","26,538",$1.22,$11.59,$46.23,0,-5.62%,-12.70%
Levocarnitine,Levocarnitine (With Sugar),2,"$625,563.96","3,286,727","7,369",904,$0.19,$84.89,$692.00,0,"$1,242,627.99","3,829,606","8,900","1,360",$0.33,$139.62,$913.70,0,"$1,159,747.76","4,075,926","9,170","1,122",$0.29,$126.47,"$1,033.64",0,"$1,350,004.22","4,638,364","10,351","1,332",$0.29,$130.42,"$1,013.52",0,"$1,518,157.26","5,237,130","11,233","1,343",$0.29,$135.15,"$1,130.42",0,-0.45%,11.09%
Levocarnitine SF,Levocarnitine,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,919.31","6,740",26,14,$0.28,$73.82,$137.09,1, , 
Levocarnitine*,Levocarnitine,1,"$1,002,852.81","1,727,525","14,457","5,006",$0.58,$69.37,$200.33,0,"$1,789,299.03","2,704,501","21,946","5,270",$0.66,$81.53,$339.53,0,"$3,589,234.69","4,465,786","36,742","5,259",$0.80,$97.69,$682.49,0,"$3,814,028.36","4,690,402","38,765","5,433",$0.81,$98.39,$702.01,0,"$4,243,334.33","5,093,065","41,775","5,553",$0.83,$101.58,$764.15,0,2.46%,9.45%
Levocetirizine Dihydrochloride,Levocetirizine Dihydrochloride,16,"$22,108,885.61","38,669,069","931,698","301,307",$0.57,$23.73,$73.38,0,"$21,311,610.16","47,679,025","1,132,687","354,500",$0.45,$18.82,$60.12,0,"$22,488,103.19","61,164,700","1,367,946","408,231",$0.37,$16.44,$55.09,0,"$21,538,163.79","65,736,286","1,392,526","412,708",$0.33,$15.47,$52.19,0,"$24,435,963.95","80,152,693","1,577,580","471,448",$0.31,$15.49,$51.83,0,-6.60%,-14.40%
Levofloxacin*,Levofloxacin,18,"$51,733,992.80","38,987,127","4,495,571","3,380,284",$1.37,$11.51,$15.30,0,"$49,992,875.93","37,253,325","4,312,000","3,157,375",$1.38,$11.59,$15.83,0,"$42,452,477.52","34,345,734","4,029,117","2,939,084",$1.26,$10.54,$14.44,0,"$39,158,158.64","31,036,888","3,672,298","2,707,768",$1.28,$10.66,$14.46,0,"$30,102,134.44","27,154,977","3,173,594","2,352,142",$1.13,$9.49,$12.80,0,-11.98%,-4.65%
Levofloxacin-D5W,Levofloxacin In Dextrose 5 %,9,"$363,825.42","4,130,185","8,265","9,524",$0.10,$44.02,$38.20,0,"$448,992.36","5,315,543","10,465","8,441",$0.09,$42.90,$53.19,0,"$435,471.67","5,629,773","11,476","7,724",$0.08,$37.95,$56.38,0,"$447,276.32","6,058,846","12,134","6,914",$0.08,$36.86,$64.69,0,"$396,242.04","5,175,584","10,130","5,685",$0.08,$39.12,$69.70,0,2.42%,-3.44%
Levoleucovorin Calcium,Levoleucovorin Calcium,2, , , , , , , , , , , ,15, , , , ,"$49,046.66",288,18,18,$170.30,"$2,724.81","$2,724.81",1,"$91,614.49",585,32,22,$156.61,"$2,862.95","$4,164.30",1,"$116,576.27","4,451",106,27,$75.59,"$1,099.78","$4,317.64",1,-51.73%,-33.38%
Levonest,Levonorgestrel/Ethin.Estradiol,1,"$34,847.61","54,664","1,658",252,$0.64,$21.02,$138.28,0,"$29,370.51","49,538","1,485",227,$0.59,$19.78,$129.39,0,"$29,103.36","49,980","1,475",210,$0.58,$19.73,$138.59,0,"$21,303.94","35,784","1,047",180,$0.60,$20.35,$118.36,0,"$21,911.88","36,348","1,025",149,$0.60,$21.38,$147.06,0,1.26%,-1.39%
Levonorg-Eth Estrad Eth Estrad,L-Norgest/E.Estradiol-E.Estrad,2,"$62,857.83","32,396",354,155,$1.94,$177.56,$405.53,0,"$98,024.45","60,503",665,414,$1.62,$147.41,$236.77,0,"$239,567.90","172,560","1,900",794,$1.39,$126.09,$301.72,0,"$259,253.28","192,002","2,109",914,$1.35,$122.93,$283.65,0,"$339,035.24","262,801","2,886","1,157",$1.29,$117.48,$293.03,0,-4.48%,-9.70%
Levonorgestrel-Eth Estradiol,Levonorgestrel/Ethin.Estradiol,3,"$338,619.99","445,842","8,316","2,401",$0.66,$40.72,$141.03,0,"$385,275.43","592,923","10,798","3,020",$0.59,$35.68,$127.57,0,"$437,225.76","671,226","10,854","3,214",$0.62,$40.28,$136.04,0,"$532,814.16","781,909","12,622","3,569",$0.64,$42.21,$149.29,0,"$636,467.02","871,867","13,633","3,797",$0.68,$46.69,$167.62,0,6.59%,1.09%
Levora-28,Levonorgestrel/Ethin.Estradiol,1, , , ,"1,598", , , , ,"$12,260.78","19,040",300,"1,498",$0.64,$40.87,$8.18,0,"$133,176.00","229,126","3,803","1,265",$0.58,$35.02,$105.28,0,"$69,054.37","106,960","1,664",562,$0.65,$41.50,$122.87,0,"$31,463.52","52,220","1,009",283,$0.60,$31.18,$111.18,0,-6.67%,-2.19%
Levorphanol Tartrate,Levorphanol Tartrate,2,"$1,707,408.07","77,977",703,702,$21.90,"$2,428.75","$2,432.21",0,"$13,209,015.96","437,899","3,608","1,032",$30.16,"$3,661.04","$12,799.43",1,"$30,464,896.72","845,874","7,074","1,773",$36.02,"$4,306.60","$17,182.68",0,"$40,483,033.29","1,037,246","8,802","1,857",$39.03,"$4,599.30","$21,800.23",0,"$40,108,982.69","1,052,047","9,290","1,670",$38.17,"$4,317.44","$24,017.35",0,-2.19%,14.91%
Levothyroxine Sodium*,Levothyroxine Sodium,14,"$777,816,524.93","2,036,586,184","39,430,204","6,640,817",$0.39,$19.73,$117.13,0,"$806,858,069.92","2,190,772,187","41,029,754","7,027,585",$0.37,$19.67,$114.81,0,"$836,298,435.67","2,296,430,083","41,390,079","7,344,244",$0.37,$20.21,$113.87,0,"$828,162,191.05","2,403,047,885","41,531,015","7,596,614",$0.35,$19.94,$109.02,0,"$819,411,861.01","2,503,634,659","41,310,107","7,860,422",$0.33,$19.84,$104.25,0,-4.89%,-3.58%
Levoxyl,Levothyroxine Sodium,1,"$4,373,366.29","9,478,721","147,039","37,491",$0.46,$29.74,$116.65,0,"$5,240,753.92","10,700,852","170,792","40,658",$0.49,$30.69,$128.90,0,"$4,831,376.23","9,146,701","147,826","35,919",$0.53,$32.68,$134.51,0,"$5,159,753.20","9,950,070","158,067","40,508",$0.52,$32.64,$127.38,0,"$5,666,183.54","10,597,795","162,734","39,128",$0.54,$34.82,$144.81,0,3.12%,3.80%
Levsin*,Hyoscyamine Sulfate,1,"$44,030.17","22,620",209,128,$3.36,$210.67,$343.99,1,"$51,348.38","24,139",206,108,$2.13,$249.26,$475.45,0,"$61,833.37","27,827",227,116,$3.45,$272.39,$533.05,1,"$46,529.11","18,963",165,91,$3.80,$281.99,$511.31,1,"$43,786.13","16,447",141,81,$3.15,$310.54,$540.57,0,-17.07%,-1.60%
Levsin-Sl,Hyoscyamine Sulfate,1,"$47,603.60","26,285",268,171,$1.81,$177.63,$278.38,0,"$51,008.39","24,419",285,161,$2.09,$178.98,$316.82,0,"$55,865.77","25,410",266,151,$2.20,$210.02,$369.97,0,"$52,500.98","22,774",249,126,$2.31,$210.85,$416.67,0,"$36,055.60","15,145",180,110,$2.38,$200.31,$327.78,0,3.27%,7.08%
Levulan,Aminolevulinic Acid HCl,1,"$139,132.46",460,347,315,$302.46,$400.96,$441.69,0,"$130,007.67","3,399",304,260,$38.25,$427.66,$500.03,1,"$141,136.62",404,297,239,$349.35,$475.21,$590.53,0,"$109,051.78",304,238,198,$358.72,$458.20,$550.77,0,"$113,373.19",312,252,207,$363.38,$449.89,$547.70,0,1.30%,4.69%
Lexapro,Escitalopram Oxalate,1,"$22,110,389.85","3,176,388","65,998","12,184",$7.10,$335.02,"$1,814.71",0,"$22,541,632.95","2,743,420","55,579","10,062",$8.39,$405.58,"$2,240.27",0,"$20,733,339.14","2,183,503","43,401","7,881",$9.59,$477.72,"$2,630.80",0,"$20,810,996.84","1,966,144","38,197","6,963",$10.59,$544.83,"$2,988.80",0,"$20,932,118.00","1,807,279","33,814","6,365",$11.59,$619.04,"$3,288.63",0,9.42%,13.01%
Lexette,Halobetasol Propionate,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$239,494.44","15,350",281,182,$15.60,$852.29,"$1,315.90",0, , 
Lexiva,Fosamprenavir Calcium,1,"$34,306,513.16","2,073,119","27,078","3,200",$16.76,"$1,266.95","$10,720.79",0,"$25,798,478.38","1,466,349","19,023","2,324",$17.88,"$1,356.17","$11,100.89",0,"$17,813,136.76","936,284","12,126","1,544",$19.45,"$1,469.00","$11,537.01",0,"$5,685,358.80","318,701","3,877",640,$19.25,"$1,466.43","$8,883.37",0,"$1,283,417.74","75,018",825,240,$19.33,"$1,555.66","$5,347.57",0,0.44%,3.63%
Lialda,Mesalamine,1,"$168,974,853.31","23,631,353","217,479","46,617",$7.15,$776.97,"$3,624.75",0,"$197,558,860.11","25,722,161","227,411","49,170",$7.68,$868.73,"$4,017.87",0,"$188,317,111.47","21,834,781","186,593","45,874",$8.62,"$1,009.24","$4,105.09",0,"$94,747,568.02","11,055,507","86,027","20,464",$8.57,"$1,101.37","$4,629.96",0,"$39,926,775.24","5,755,691","35,308","9,999",$6.94,"$1,130.81","$3,993.08",0,-19.06%,-0.76%
Librax,Chlordiazepoxide/Clidinium Br,1, , , , , , , , ,"$1,809,992.52","46,579",451,263,$38.86,"$4,013.29","$6,882.10",0,"$7,391,636.82","184,703","1,733",842,$40.02,"$4,265.23","$8,778.67",0,"$8,976,346.77","226,055","2,083",788,$39.71,"$4,309.34","$11,391.30",0,"$6,813,456.21","269,625","2,245",729,$25.27,"$3,034.95","$9,346.30",0,-36.36%,-13.36%
Libtayo,Cemiplimab-Rwlc,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$102,975.85",84,12, ,"$1,225.90","$8,581.32", ,1,"$2,383,096.83","1,750",250,42,"$1,361.77","$9,532.39","$56,740.40",0,11.08%,11.08%
Lidocaine,Lidocaine,21,"$423,294,737.37","76,142,331","1,373,404","526,807",$5.82,$308.21,$803.51,0,"$880,745,351.94","191,669,905","1,980,700","692,909",$4.86,$444.66,"$1,271.08",0,"$428,649,661.79","155,963,117","1,492,421","543,835",$3.25,$287.22,$788.20,0,"$276,400,282.63","126,676,018","1,301,509","425,165",$2.75,$212.37,$650.10,0,"$143,285,728.79","70,951,169","1,105,498","367,311",$2.38,$129.61,$390.09,0,-13.45%,-20.01%
Lidocaine HCl Viscous,Lidocaine HCl,3,"$1,418,271.87","33,617,085","156,958","178,584",$0.04,$9.04,$7.94,0,"$2,092,041.46","43,437,749","200,336","197,958",$0.05,$10.44,$10.57,0,"$4,568,432.13","64,449,960","305,921","215,530",$0.07,$14.93,$21.20,0,"$5,251,674.73","74,305,417","345,638","230,643",$0.07,$15.19,$22.77,0,"$5,631,717.23","79,434,505","369,832","243,506",$0.07,$15.23,$23.13,0,0.41%,13.90%
Lidocaine HCl*,Lidocaine HCl,11,"$4,852,684.71","13,754,356","319,606","207,292",$0.34,$15.18,$23.41,0,"$6,110,235.62","16,510,817","379,442","214,454",$0.36,$16.10,$28.49,0,"$4,921,884.71","13,770,631","330,815","192,452",$0.34,$14.88,$25.57,0,"$4,397,193.51","9,877,061","232,372","138,525",$0.43,$18.92,$31.74,0,"$5,695,521.02","7,671,852","191,597","123,607",$0.69,$29.73,$46.08,0,60.42%,19.15%
Lidocaine HCl*,Lidocaine HCl/PF,4,"$158,937.09","380,440","15,500","11,732",$0.45,$10.25,$13.55,0,"$197,832.49","377,787","17,379","13,241",$0.57,$11.38,$14.94,0,"$197,561.67","394,877","16,875","12,878",$0.53,$11.71,$15.34,0,"$260,458.59","503,444","22,639","18,009",$0.58,$11.50,$14.46,0,"$309,086.95","524,009","25,400","19,279",$0.66,$12.17,$16.03,0,14.08%,10.09%
Lidocaine HCl-Epinephrine,Lidocaine HCl/Epinephrine,1,"$1,402.41","7,354",211,183,$0.20,$6.65,$7.66,0,"$1,474.61","6,345",149,140,$0.26,$9.90,$10.53,0,$571.28,"3,144",69,61,$0.25,$8.28,$9.37,1,$769.39,"3,150",123,114,$0.40,$6.26,$6.75,0,"$1,223.79","5,594",110,102,$0.23,$11.13,$12.00,0,-42.97%,3.48%
Lidocaine-Hydrocortisone,Hydrocortisone/Lidocaine/Aloe,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,483.04",15,15, ,$98.87,$98.87, ,1, , 
Lidocaine-Hydrocortisone*,Lidocaine/Hydrocortisone Ac,2,"$316,564.75","115,249","2,081","1,257",$31.21,$152.12,$251.84,1,"$53,632.65","21,670",397,251,$14.05,$135.09,$213.68,1,"$84,211.80","16,290",314,160,$30.51,$268.19,$526.32,1,"$21,119.65","6,835",189,118,$26.98,$111.74,$178.98,1,"$9,723.99","2,875",71,39,$27.05,$136.96,$249.33,1,0.25%,-3.51%
Lidocaine-Prilocaine,Lidocaine/Prilocaine,6,"$98,327,950.54","87,137,267","553,640","296,305",$1.14,$177.60,$331.85,0,"$97,625,555.97","97,570,464","642,940","299,183",$1.01,$151.84,$326.31,0,"$61,699,106.20","74,165,399","517,077","253,383",$0.84,$119.32,$243.50,0,"$28,505,945.49","46,626,774","409,684","209,700",$0.65,$69.58,$135.94,0,"$16,522,318.46","32,669,923","365,869","187,265",$0.51,$45.16,$88.23,0,-21.29%,-18.13%
Lidoderm,Lidocaine,1,"$107,473,364.71","11,350,820","263,750","75,518",$9.47,$407.48,"$1,423.15",0,"$22,518,184.77","1,922,852","35,603","11,890",$11.71,$632.48,"$1,893.88",0,"$14,991,465.11","1,171,811","19,260","4,981",$12.79,$778.37,"$3,009.73",0,"$12,935,937.61","829,780","13,203","3,136",$15.59,$979.77,"$4,124.98",0,"$12,581,189.66","697,501","10,466","2,488",$18.04,"$1,202.10","$5,056.75",0,15.70%,17.48%
Lidorx,Lidocaine HCl,1,"$18,293.73","4,898",37,20,$3.73,$494.43,$914.69,1,"$7,843.56","1,440",30,23,$5.45,$261.45,$341.02,1,"$7,268.71","1,230",35,17,$5.91,$207.68,$427.57,1,"$2,970.42",480,14,11,$6.19,$212.17,$270.04,1,"$2,580.26",370,11, ,$6.97,$234.57, , ,12.69%,16.89%
Liletta,Levonorgestrel,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$14,386.27",20,20,20,$719.31,$719.31,$719.31,1,"$14,531.42",19,19,19,$764.81,$764.81,$764.81,1,6.33%,6.33%
Lillow,Levonorgestrel/Ethin.Estradiol,1, , , , , , , , , , , , , , , , ,"$2,248.59","5,544",117,81,$0.41,$19.22,$27.76,0,"$47,642.38","102,956","2,063",568,$0.46,$23.09,$83.88,0,"$50,230.67","106,176","1,906",485,$0.47,$26.35,$103.57,0,2.24%,8.00%
Lincocin,Lincomycin HCl,1,"$27,498.41","2,268",336,249,$12.12,$81.84,$110.44,0,"$17,476.43","1,272",220,161,$13.74,$79.44,$108.55,0,"$14,205.06",873,119,94,$16.27,$119.37,$151.12,0,"$9,542.42",471,66,57,$20.26,$144.58,$167.41,1,"$5,590.34",273,58,46,$20.48,$96.39,$121.53,1,1.07%,14.00%
Lincomycin HCl,Lincomycin HCl,1, , , , , , , , ,"$2,243.16",183,23,17,$12.26,$97.53,$131.95,1,"$4,613.09",440,46,27,$10.48,$100.28,$170.86,1,"$5,918.14",524,62,46,$11.29,$95.45,$128.66,1,"$5,733.55",510,53,33,$11.24,$108.18,$173.74,1,-0.46%,-2.84%
Lindane,Lindane,1,"$592,492.26","337,053","4,782","3,912",$1.76,$123.90,$151.46,0,"$200,736.92","122,699","1,863","2,124",$1.64,$107.75,$94.51,0,"$191,347.23","119,281","1,712","1,477",$1.60,$111.77,$129.55,0,"$181,958.91","102,662","1,463","1,142",$1.77,$124.37,$159.33,0,"$134,971.64","75,505","1,112",874,$1.79,$121.38,$154.43,0,0.86%,0.42%
Linezolid,Linezolid,13,"$39,700,992.64","299,455","14,112","11,300",$134.03,"$2,813.28","$3,513.36",0,"$51,385,234.07","1,380,839","44,509","34,055",$44.03,"$1,154.49","$1,508.89",0,"$26,631,490.51","1,351,331","51,912","39,862",$22.54,$513.01,$668.09,1,"$23,465,518.10","1,550,760","59,073","45,147",$17.03,$397.23,$519.76,1,"$20,962,950.49","1,713,258","68,423","52,723",$13.66,$306.37,$397.61,1,-19.83%,-43.50%
Linezolid-0.9% NaCl,Linezolid-0.9% Sodium Chloride,1,"$112,106.49","509,909",250,86,$0.22,$448.43,"$1,303.56",0,"$316,580.84","1,441,784",672,236,$0.22,$471.10,"$1,341.44",0,"$285,807.49","1,368,186",708,251,$0.21,$403.68,"$1,138.68",0,"$281,193.58","1,368,591",576,227,$0.21,$488.18,"$1,238.74",0,"$168,251.89","774,224",397,150,$0.22,$423.81,"$1,121.68",0,5.77%,-0.29%
Linezolid-D5W,Linezolid In Dextrose 5%,6, , , ,851, , , , ,"$151,715.44","606,628",207,820,$0.26,$732.92,$185.02,0,"$932,736.80","3,892,162","1,366",869,$0.24,$682.82,"$1,073.34",0,"$1,164,868.06","5,842,004","2,335",922,$0.20,$498.87,"$1,263.41",0,"$1,262,436.06","7,065,567","2,676",976,$0.18,$471.76,"$1,293.48",0,-10.23%,-11.42%
Linzess,Linaclotide,1,"$259,461,753.76","27,201,559","787,276","204,324",$9.54,$329.57,"$1,269.85",0,"$411,043,476.83","38,454,488","1,098,462","268,655",$10.69,$374.20,"$1,530.00",0,"$582,855,187.11","49,164,254","1,351,443","321,801",$11.86,$431.28,"$1,811.23",0,"$761,658,895.28","58,160,952","1,509,863","361,089",$13.10,$504.46,"$2,109.34",0,"$983,986,225.42","68,279,236","1,712,161","412,698",$14.41,$574.70,"$2,384.28",0,10.04%,10.87%
Lioresal Intrathecal,Baclofen,2,"$391,033.37","30,138",317,109,$37.83,"$1,233.54","$3,587.46",0,"$349,358.62","8,937",299,97,$40.02,"$1,168.42","$3,601.64",1,"$320,984.60","8,620",284,101,$38.96,"$1,130.23","$3,178.07",0,"$446,266.63","10,350",351,123,$43.10,"$1,271.41","$3,628.18",1,"$450,518.29","10,141",349,118,$44.83,"$1,290.88","$3,817.95",0,4.02%,4.34%
Liothyronine Sodium*,Liothyronine Sodium,5,"$15,861,635.42","30,584,200","423,217","89,846",$0.54,$37.48,$176.54,0,"$16,704,509.91","34,928,156","469,678","99,786",$0.50,$35.57,$167.40,0,"$19,332,220.79","36,900,741","477,023","111,196",$0.54,$40.53,$173.86,0,"$25,391,493.28","44,752,586","548,183","124,705",$0.58,$46.32,$203.61,0,"$32,790,900.30","50,456,238","585,104","136,361",$0.66,$56.04,$240.47,0,13.72%,5.40%
Lipitor,Atorvastatin Calcium,1,"$43,310,957.77","5,753,570","104,732","25,905",$7.54,$413.54,"$1,671.91",0,"$66,711,143.30","7,662,004","122,377","29,946",$8.72,$545.13,"$2,227.71",0,"$70,327,975.46","6,750,913","102,348","25,799",$10.43,$687.15,"$2,726.00",0,"$75,810,896.03","6,385,225","93,087","23,975",$11.88,$814.41,"$3,162.08",0,"$77,092,724.55","6,187,617","87,857","22,758",$12.48,$877.48,"$3,387.50",0,5.02%,13.41%
Lipofen,Fenofibrate,1,"$2,582,068.52","450,268","8,662","2,559",$5.74,$298.09,"$1,009.01",0,"$1,841,757.27","298,017","5,143","1,386",$6.17,$358.11,"$1,328.83",0,"$1,357,797.74","204,980","3,486",908,$6.63,$389.50,"$1,495.37",0,"$747,802.38","115,979","2,106",556,$6.39,$355.08,"$1,344.97",0,"$559,839.77","81,949","1,461",364,$6.61,$383.19,"$1,538.02",0,3.45%,3.61%
Lisinopril,Lisinopril,23,"$250,623,812.11","2,298,398,846","38,662,931","7,766,640",$0.11,$6.48,$32.27,0,"$258,364,744.76","2,413,086,337","39,207,512","8,008,764",$0.11,$6.59,$32.26,0,"$255,913,773.35","2,494,075,320","38,608,234","8,168,576",$0.10,$6.63,$31.33,0,"$264,739,173.90","2,585,051,632","37,740,334","8,340,585",$0.10,$7.01,$31.74,0,"$286,846,115.42","2,678,080,212","37,162,925","8,613,159",$0.11,$7.72,$33.30,0,4.61%,-0.46%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,14,"$58,939,085.54","502,660,990","7,470,079","1,637,955",$0.12,$7.89,$35.98,0,"$54,470,604.75","518,021,512","7,408,896","1,652,167",$0.10,$7.35,$32.97,0,"$52,574,710.74","522,521,222","7,094,454","1,649,150",$0.10,$7.41,$31.88,0,"$54,398,033.23","532,237,855","6,794,220","1,659,329",$0.10,$8.01,$32.78,0,"$61,357,137.18","544,057,314","6,596,832","1,692,406",$0.11,$9.30,$36.25,0,10.06%,-0.96%
Lite Touch,"Pen Needle, Diabetic",1,"$753,552.49","1,737,537","10,611","4,578",$0.43,$71.02,$164.60,0,"$431,597.46","1,175,281","8,466","2,802",$0.37,$50.98,$154.03,0,"$347,378.15","943,416","7,312","2,408",$0.37,$47.51,$144.26,0,"$203,873.93","669,363","5,746","1,940",$0.30,$35.48,$105.09,0,"$126,534.99","559,710","4,815","1,677",$0.23,$26.28,$75.45,0,-25.77%,-15.02%
Lite Touch,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$74,043.98","190,900","1,293",546,$0.39,$57.27,$135.61,0,"$35,939.81","97,100",768,267,$0.37,$46.80,$134.61,0,"$23,406.86","65,980",539,193,$0.35,$43.43,$121.28,0,"$7,564.48","28,950",263,87,$0.26,$28.76,$86.95,0,"$4,061.43","20,490",175,71,$0.20,$23.21,$57.20,0,-24.14%,-15.45%
Lite Touch,"Syringe And Needle,Insulin,1ml",1,"$276,810.18","801,957","5,619","2,139",$0.34,$49.26,$129.41,0,"$146,835.66","486,083","3,544","1,182",$0.31,$41.43,$124.23,0,"$93,403.50","295,371","2,290",745,$0.32,$40.79,$125.37,0,"$37,182.17","141,752","1,379",389,$0.26,$26.96,$95.58,0,"$19,387.56","101,825","1,001",319,$0.19,$19.37,$60.78,0,-27.42%,-13.42%
Lite Touch,"Syringe-Needle,Insulin,0.5 Ml",1,"$222,618.59","661,924","5,200","1,782",$0.33,$42.81,$124.93,0,"$144,045.23","469,652","3,636","1,121",$0.31,$39.62,$128.50,0,"$73,884.83","244,691","2,039",673,$0.30,$36.24,$109.78,0,"$29,025.73","109,750","1,050",319,$0.26,$27.64,$90.99,0,"$15,347.93","80,531",779,249,$0.19,$19.70,$61.64,0,-27.73%,-12.93%
Litetouch Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$22,610.04","80,034",743,232,$0.28,$30.43,$97.46,0,"$12,019.98","39,140",372,125,$0.31,$32.31,$96.16,0,"$10,771.44","34,640",299,123,$0.31,$36.02,$87.57,0,"$4,547.31","16,960",180,50,$0.27,$25.26,$90.95,0,"$2,227.89","11,246",123,43,$0.20,$18.11,$51.81,0,-26.06%,-8.48%
Litetouch Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$1,306.90","6,480",57,21,$0.21,$22.93,$62.23,1,"$1,457.00","5,480",57,18,$0.26,$25.56,$80.94,0,$917.38,"3,920",45,16,$0.23,$20.39,$57.34,1,$865.59,"3,862",41,16,$0.23,$21.11,$54.10,1,$842.45,"4,138",34,12,$0.21,$24.78,$70.20,1,-8.51%,-0.44%
Litetouch Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,"$3,759.14","14,800",153,53,$0.25,$24.57,$70.93,0,"$2,513.91","10,130",104,46,$0.25,$24.17,$54.65,0,"$1,358.72","5,450",66,22,$0.25,$20.59,$61.76,1,"$2,241.19","8,910",93,32,$0.25,$24.10,$70.04,0,"$2,495.76","13,320",131,44,$0.19,$19.05,$56.72,0,-26.24%,-7.09%
Lithium,Lithium Citrate,1,"$298,747.86","2,661,748","7,942","1,633",$0.11,$37.62,$182.94,0,"$380,769.15","2,926,738","8,606","1,657",$0.13,$44.24,$229.79,0,"$526,385.59","2,872,536","8,421","1,669",$0.18,$62.51,$315.39,0,"$861,017.41","3,001,919","8,578","1,630",$0.29,$100.38,$528.23,0,"$889,312.73","3,002,754","8,591","1,624",$0.30,$103.52,$547.61,0,3.26%,27.45%
Lithium Carbonate,Lithium Carbonate,6,"$7,809,070.16","72,932,938","948,099","132,716",$0.11,$8.24,$58.84,0,"$7,607,640.96","72,173,731","941,440","130,818",$0.11,$8.08,$58.15,0,"$7,515,869.68","70,633,674","918,612","128,173",$0.11,$8.18,$58.64,0,"$7,892,827.16","69,354,180","896,079","126,887",$0.12,$8.81,$62.20,0,"$7,798,713.73","67,529,323","859,635","123,537",$0.12,$9.07,$63.13,0,1.51%,1.73%
Lithium Carbonate ER,Lithium Carbonate,7,"$8,573,652.58","30,601,866","429,164","64,496",$0.29,$19.98,$132.93,0,"$8,299,704.63","31,193,262","436,235","65,163",$0.27,$19.03,$127.37,0,"$8,364,791.53","31,545,050","439,146","65,445",$0.27,$19.05,$127.81,0,"$8,610,901.53","32,384,082","445,042","66,793",$0.27,$19.35,$128.92,0,"$8,416,775.50","32,799,112","438,009","67,032",$0.27,$19.22,$125.56,0,-3.47%,-2.14%
Lithobid,Lithium Carbonate,1,"$1,581,558.67","305,142","3,290",546,$5.18,$480.72,"$2,896.63",0,"$1,973,765.99","271,954","2,985",457,$7.26,$661.23,"$4,318.96",0,"$2,199,045.82","234,102","2,496",375,$9.39,$881.03,"$5,864.12",0,"$2,141,009.64","202,405","2,140",320,$10.58,"$1,000.47","$6,690.66",0,"$2,124,144.70","185,733","1,980",273,$11.44,"$1,072.80","$7,780.75",0,8.12%,21.88%
Lithostat,Acetohydroxamic Acid,1,"$17,547.58","1,102",13, ,$15.92,"$1,349.81", ,1,"$80,403.48","4,518",61,24,$17.80,"$1,318.09","$3,350.15",0,"$113,621.65","6,513",98,36,$17.45,"$1,159.40","$3,156.16",0,"$444,108.34","23,954",279,88,$18.54,"$1,591.79","$5,046.69",0,"$835,240.39","45,333",563,136,$18.42,"$1,483.55","$6,141.47",0,-0.62%,3.71%
